CALENDAR_DATE,YEAR,HOLIDAY,IS_WEEKEND,IS_SCHOOLBREAK,AVERAGE_TEMPERATURE,IS_OUTDOOR
1/1/12,2012,New Year,1,0,24.8,0
1/2/12,2012,New Year,0,0,24.8,0
1/3/12,2012,New Year,0,0,32,1
1/4/12,2012,NULL,0,0,32,1
1/5/12,2012,NULL,0,0,24.8,0
1/6/12,2012,NULL,0,0,23,0
1/7/12,2012,NULL,1,0,26.6,0
1/8/12,2012,NULL,1,0,26.6,0
1/9/12,2012,NULL,0,0,23,0
1/10/12,2012,NULL,0,0,24.8,0
1/11/12,2012,NULL,0,0,21.2,0
1/12/12,2012,NULL,0,0,24.8,0
1/13/12,2012,NULL,0,0,26.6,0
1/14/12,2012,NULL,1,0,23,0
1/15/12,2012,NULL,1,0,32,1
1/16/12,2012,NULL,0,0,23,0
1/17/12,2012,NULL,0,0,23,0
1/18/12,2012,NULL,0,0,23,0
1/19/12,2012,NULL,0,0,24.8,0
1/20/12,2012,NULL,0,0,26.6,0
1/21/12,2012,NULL,1,0,26.6,0
1/22/12,2012,NULL,1,0,24.8,0
1/23/12,2012,NULL,0,0,23,0
1/24/12,2012,NULL,0,0,24.8,0
1/25/12,2012,NULL,0,0,23,0
1/26/12,2012,NULL,0,0,24.8,0
1/27/12,2012,NULL,0,0,32,1
1/28/12,2012,NULL,1,0,32,1
1/29/12,2012,NULL,1,0,23,0
1/30/12,2012,NULL,0,0,28.4,0
1/31/12,2012,NULL,0,0,32,1
2/1/12,2012,NULL,0,0,32,1
2/2/12,2012,Luner New Year,0,0,32,1
2/3/12,2012,Luner New Year,0,0,32,1
2/4/12,2012,Luner New Year,1,0,32,1
2/5/12,2012,Luner New Year,1,0,32,1
2/6/12,2012,Luner New Year,0,0,32,1
2/7/12,2012,Luner New Year,0,0,32,1
2/8/12,2012,Luner New Year,0,0,32,1
2/9/12,2012,NULL,0,0,32,1
2/10/12,2012,NULL,0,0,32,1
2/11/12,2012,NULL,1,0,24.8,0
2/12/12,2012,NULL,1,0,24.8,0
2/13/12,2012,NULL,0,0,32,1
2/14/12,2012,NULL,0,0,32,1
2/15/12,2012,NULL,0,0,32,1
2/16/12,2012,NULL,0,0,32,1
2/17/12,2012,NULL,0,0,32,1
2/18/12,2012,NULL,1,0,32,1
2/19/12,2012,NULL,1,0,37.4,1
2/20/12,2012,NULL,0,0,37.4,1
2/21/12,2012,NULL,0,0,39.2,1
2/22/12,2012,NULL,0,0,39.2,1
2/23/12,2012,NULL,0,0,42.8,1
2/24/12,2012,NULL,0,0,39.2,1
2/25/12,2012,NULL,1,0,37.4,1
2/26/12,2012,NULL,1,0,32,1
2/27/12,2012,NULL,0,0,30.2,1
2/28/12,2012,NULL,0,0,33.8,1
3/1/12,2012,NULL,0,0,33.8,1
3/2/12,2012,NULL,0,0,35.6,1
3/3/12,2012,NULL,1,0,35.6,1
3/4/12,2012,NULL,1,0,41,1
3/5/12,2012,NULL,0,0,44.6,1
3/6/12,2012,NULL,0,0,39.2,1
3/7/12,2012,NULL,0,0,39.2,1
3/8/12,2012,NULL,0,0,39.2,1
3/9/12,2012,NULL,0,0,41,1
3/10/12,2012,NULL,1,0,46.4,1
3/11/12,2012,NULL,1,0,50,1
3/12/12,2012,NULL,0,0,55.4,1
3/13/12,2012,NULL,0,0,50,1
3/14/12,2012,NULL,0,0,41,1
3/15/12,2012,NULL,0,0,37.4,1
3/16/12,2012,NULL,0,0,42.8,1
3/17/12,2012,NULL,1,0,50,1
3/18/12,2012,NULL,1,0,44.6,1
3/19/12,2012,NULL,0,0,46.4,1
3/20/12,2012,NULL,0,0,44.6,1
3/21/12,2012,NULL,0,0,37.4,1
3/22/12,2012,NULL,0,0,39.2,1
3/23/12,2012,NULL,0,0,42.8,1
3/24/12,2012,NULL,1,0,42.8,1
3/25/12,2012,NULL,1,0,42.8,1
3/26/12,2012,NULL,0,0,46.4,1
3/27/12,2012,NULL,0,0,48.2,1
3/28/12,2012,NULL,0,0,50,1
3/29/12,2012,NULL,0,0,51.8,1
3/30/12,2012,NULL,0,0,57.2,1
3/31/12,2012,NULL,1,0,57.2,1
4/1/12,2012,NULL,1,0,44.6,1
4/2/12,2012,NULL,0,0,44.6,1
4/3/12,2012,Qing Ming Festival,0,0,48.2,1
4/4/12,2012,Qing Ming Festival,0,0,53.6,1
4/5/12,2012,Qing Ming Festival,0,0,57.2,1
4/6/12,2012,NULL,0,0,55.4,1
4/7/12,2012,NULL,1,0,53.6,1
4/8/12,2012,NULL,1,0,55.4,1
4/9/12,2012,NULL,0,0,60.8,1
4/10/12,2012,NULL,0,0,50,1
4/11/12,2012,NULL,0,0,57.2,1
4/12/12,2012,NULL,0,0,62.6,1
4/13/12,2012,NULL,0,0,66.2,1
4/14/12,2012,NULL,1,0,69.8,1
4/15/12,2012,NULL,1,0,60.8,1
4/16/12,2012,NULL,0,0,66.2,1
4/17/12,2012,NULL,0,0,57.2,1
4/18/12,2012,NULL,0,0,57.2,1
4/19/12,2012,NULL,0,0,62.6,1
4/20/12,2012,NULL,0,0,66.2,1
4/21/12,2012,NULL,1,0,53.6,1
4/22/12,2012,NULL,1,0,57.2,1
4/23/12,2012,NULL,0,0,55.4,1
4/24/12,2012,NULL,0,0,60.8,1
4/25/12,2012,NULL,0,0,55.4,1
4/26/12,2012,NULL,0,0,53.6,1
4/27/12,2012,NULL,0,0,60.8,1
4/28/12,2012,NULL,1,0,64.4,1
4/29/12,2012,NULL,1,0,62.6,1
4/30/12,2012,Labor Day,0,0,62.6,1
5/1/12,2012,Labor Day,0,0,66.2,1
5/2/12,2012,Labor Day,0,0,64.4,1
5/3/12,2012,NULL,0,0,66.2,1
5/4/12,2012,NULL,0,0,60.8,1
5/5/12,2012,NULL,1,0,64.4,1
5/6/12,2012,NULL,1,0,66.2,1
5/7/12,2012,NULL,0,0,68,1
5/8/12,2012,NULL,0,0,59,1
5/9/12,2012,NULL,0,0,69.8,1
5/10/12,2012,NULL,0,0,66.2,1
5/11/12,2012,NULL,0,0,68,1
5/12/12,2012,NULL,1,0,64.4,1
5/13/12,2012,NULL,1,0,69.8,1
5/14/12,2012,NULL,0,0,71.6,1
5/15/12,2012,NULL,0,0,66.2,1
5/16/12,2012,NULL,0,0,69.8,1
5/17/12,2012,NULL,0,0,71.6,1
5/18/12,2012,NULL,0,0,75.2,1
5/19/12,2012,NULL,1,0,68,1
5/20/12,2012,NULL,1,0,64.4,1
5/21/12,2012,NULL,0,0,66.2,1
5/22/12,2012,NULL,0,0,71.6,1
5/23/12,2012,NULL,0,0,73.4,1
5/24/12,2012,NULL,0,0,73.4,1
5/25/12,2012,NULL,0,0,71.6,1
5/26/12,2012,NULL,1,0,71.6,1
5/27/12,2012,NULL,1,0,73.4,1
5/28/12,2012,NULL,0,0,80.6,1
5/29/12,2012,NULL,0,0,71.6,1
5/30/12,2012,NULL,0,0,75.2,1
5/31/12,2012,NULL,0,0,73.4,1
6/1/12,2012,NULL,0,0,77,1
6/2/12,2012,NULL,1,0,82.4,1
6/3/12,2012,NULL,1,0,78.8,1
6/4/12,2012,Dragon Boat Festivel,0,0,78.8,1
6/5/12,2012,Dragon Boat Festivel,0,0,80.6,1
6/6/12,2012,Dragon Boat Festivel,0,0,78.8,1
6/7/12,2012,NULL,0,0,82.4,1
6/8/12,2012,NULL,0,0,80.6,1
6/9/12,2012,NULL,1,0,82.4,1
6/10/12,2012,NULL,1,0,75.2,1
6/11/12,2012,NULL,0,0,73.4,1
6/12/12,2012,NULL,0,0,80.6,1
6/13/12,2012,NULL,0,0,82.4,1
6/14/12,2012,NULL,0,0,82.4,1
6/15/12,2012,NULL,0,0,77,1
6/16/12,2012,NULL,1,0,73.4,1
6/17/12,2012,NULL,1,0,77,1
6/18/12,2012,NULL,0,0,80.6,1
6/19/12,2012,NULL,0,0,82.4,1
6/20/12,2012,NULL,0,0,82.4,1
6/21/12,2012,NULL,0,0,84.2,1
6/22/12,2012,NULL,0,0,78.8,1
6/23/12,2012,NULL,1,0,73.4,1
6/24/12,2012,NULL,1,0,71.6,1
6/25/12,2012,NULL,0,0,75.2,1
6/26/12,2012,NULL,0,0,78.8,1
6/27/12,2012,NULL,0,0,80.6,1
6/28/12,2012,NULL,0,0,80.6,1
6/29/12,2012,NULL,0,0,80.6,1
6/30/12,2012,NULL,1,0,80.6,1
7/1/12,2012,NULL,1,0,80.6,1
7/2/12,2012,NULL,0,0,77,1
7/3/12,2012,NULL,0,0,80.6,1
7/4/12,2012,NULL,0,0,84.2,1
7/5/12,2012,NULL,0,0,86,1
7/6/12,2012,NULL,0,0,80.6,1
7/7/12,2012,NULL,1,0,78.8,1
7/8/12,2012,NULL,1,0,80.6,1
7/9/12,2012,NULL,0,0,82.4,1
7/10/12,2012,NULL,0,0,82.4,1
7/11/12,2012,NULL,0,0,80.6,1
7/12/12,2012,NULL,0,0,80.6,1
7/13/12,2012,NULL,0,0,82.4,1
7/14/12,2012,NULL,1,0,80.6,1
7/15/12,2012,NULL,1,0,80.6,1
7/16/12,2012,NULL,0,0,78.8,1
7/17/12,2012,NULL,0,0,77,1
7/18/12,2012,NULL,0,0,75.2,1
7/19/12,2012,NULL,0,0,77,1
7/20/12,2012,NULL,0,0,77,1
7/21/12,2012,NULL,1,0,77,1
7/22/12,2012,NULL,1,0,82.4,1
7/23/12,2012,NULL,0,0,86,1
7/24/12,2012,NULL,0,0,78.8,1
7/25/12,2012,NULL,0,0,78.8,1
7/26/12,2012,NULL,0,0,86,1
7/27/12,2012,NULL,0,0,84.2,1
7/28/12,2012,NULL,1,0,84.2,1
7/29/12,2012,NULL,1,0,78.8,1
7/30/12,2012,NULL,0,0,80.6,1
7/31/12,2012,NULL,0,0,84.2,1
8/1/12,2012,NULL,0,0,86,1
8/2/12,2012,NULL,0,0,82.4,1
8/3/12,2012,NULL,0,0,82.4,1
8/4/12,2012,NULL,1,0,82.4,1
8/5/12,2012,NULL,1,0,80.6,1
8/6/12,2012,NULL,0,0,80.6,1
8/7/12,2012,NULL,0,0,82.4,1
8/8/12,2012,NULL,0,0,84.2,1
8/9/12,2012,NULL,0,0,84.2,1
8/10/12,2012,NULL,0,0,82.4,1
8/11/12,2012,NULL,1,0,84.2,1
8/12/12,2012,NULL,1,0,84.2,1
8/13/12,2012,NULL,0,0,82.4,1
8/14/12,2012,NULL,0,0,77,1
8/15/12,2012,NULL,0,0,75.2,1
8/16/12,2012,NULL,0,0,80.6,1
8/17/12,2012,NULL,0,0,78.8,1
8/18/12,2012,NULL,1,0,75.2,1
8/19/12,2012,NULL,1,0,77,1
8/20/12,2012,NULL,0,0,78.8,1
8/21/12,2012,NULL,0,0,78.8,1
8/22/12,2012,NULL,0,0,77,1
8/23/12,2012,NULL,0,0,77,1
8/24/12,2012,NULL,0,0,75.2,1
8/25/12,2012,NULL,1,0,73.4,1
8/26/12,2012,NULL,1,0,75.2,1
8/27/12,2012,NULL,0,0,75.2,1
8/28/12,2012,NULL,0,0,77,1
8/29/12,2012,NULL,0,0,78.8,1
8/30/12,2012,NULL,0,0,80.6,1
8/31/12,2012,NULL,0,0,77,1
9/1/12,2012,NULL,1,0,73.4,1
9/2/12,2012,NULL,1,0,75.2,1
9/3/12,2012,NULL,0,0,71.6,1
9/4/12,2012,NULL,0,0,75.2,1
9/5/12,2012,NULL,0,0,77,1
9/6/12,2012,NULL,0,0,75.2,1
9/7/12,2012,NULL,0,0,71.6,1
9/8/12,2012,NULL,1,0,68,1
9/9/12,2012,NULL,1,0,66.2,1
9/10/12,2012,Mid-Autumn Day,0,0,60.8,1
9/11/12,2012,Mid-Autumn Day,0,0,68,1
9/12/12,2012,Mid-Autumn Day,0,0,68,1
9/13/12,2012,NULL,0,0,69.8,1
9/14/12,2012,NULL,0,0,69.8,1
9/15/12,2012,NULL,1,0,69.8,1
9/16/12,2012,NULL,1,0,62.6,1
9/17/12,2012,NULL,0,0,59,1
9/18/12,2012,NULL,0,0,59,1
9/19/12,2012,NULL,0,0,60.8,1
9/20/12,2012,NULL,0,0,62.6,1
9/21/12,2012,NULL,0,0,66.2,1
9/22/12,2012,NULL,1,0,68,1
9/23/12,2012,NULL,1,0,68,1
9/24/12,2012,NULL,0,0,69.8,1
9/25/12,2012,NULL,0,0,69.8,1
9/26/12,2012,NULL,0,0,69.8,1
9/27/12,2012,NULL,0,0,69.8,1
9/28/12,2012,NULL,0,0,66.2,1
9/29/12,2012,NULL,1,0,60.8,1
9/30/12,2012,NULL,1,0,59,1
10/1/12,2012,National Day,0,0,59,1
10/2/12,2012,National Day,0,0,57.2,1
10/3/12,2012,National Day,0,0,57.2,1
10/4/12,2012,National Day,0,0,60.8,1
10/5/12,2012,National Day,0,0,62.6,1
10/6/12,2012,National Day,1,0,62.6,1
10/7/12,2012,National Day,1,0,64.4,1
10/8/12,2012,NULL,0,0,66.2,1
10/9/12,2012,NULL,0,0,66.2,1
10/10/12,2012,NULL,0,0,62.6,1
10/11/12,2012,NULL,0,0,62.6,1
10/12/12,2012,NULL,0,0,62.6,1
10/13/12,2012,NULL,1,0,59,1
10/14/12,2012,NULL,1,0,57.2,1
10/15/12,2012,NULL,0,0,59,1
10/16/12,2012,NULL,0,0,57.2,1
10/17/12,2012,NULL,0,0,57.2,1
10/18/12,2012,NULL,0,0,59,1
10/19/12,2012,NULL,0,0,59,1
10/20/12,2012,NULL,1,0,60.8,1
10/21/12,2012,NULL,1,0,57.2,1
10/22/12,2012,NULL,0,0,60.8,1
10/23/12,2012,NULL,0,0,50,1
10/24/12,2012,NULL,0,0,46.4,1
10/25/12,2012,NULL,0,0,50,1
10/26/12,2012,NULL,0,0,48.2,1
10/27/12,2012,NULL,1,0,50,1
10/28/12,2012,NULL,1,0,51.8,1
10/29/12,2012,NULL,0,0,53.6,1
10/30/12,2012,NULL,0,0,53.6,1
10/31/12,2012,NULL,0,0,53.6,1
11/1/12,2012,NULL,0,0,51.8,1
11/2/12,2012,NULL,0,0,53.6,1
11/3/12,2012,NULL,1,0,51.8,1
11/4/12,2012,NULL,1,0,51.8,1
11/5/12,2012,NULL,0,0,53.6,1
11/6/12,2012,NULL,0,0,51.8,1
11/7/12,2012,NULL,0,0,50,1
11/8/12,2012,NULL,0,0,46.4,1
11/9/12,2012,NULL,0,0,46.4,1
11/10/12,2012,NULL,1,0,48.2,1
11/11/12,2012,NULL,1,0,50,1
11/12/12,2012,NULL,0,0,46.4,1
11/13/12,2012,NULL,0,0,42.8,1
11/14/12,2012,NULL,0,0,44.6,1
11/15/12,2012,NULL,0,0,44.6,1
11/16/12,2012,NULL,0,0,46.4,1
11/17/12,2012,NULL,1,0,41,1
11/18/12,2012,NULL,1,0,44.6,1
11/19/12,2012,NULL,0,0,37.4,1
11/20/12,2012,NULL,0,0,37.4,1
11/21/12,2012,NULL,0,0,41,1
11/22/12,2012,NULL,0,0,39.2,1
11/23/12,2012,NULL,0,0,33.8,1
11/24/12,2012,NULL,1,0,35.6,1
11/25/12,2012,NULL,1,0,37.4,1
11/26/12,2012,NULL,0,0,39.2,1
11/27/12,2012,NULL,0,0,37.4,1
11/28/12,2012,NULL,0,0,35.6,1
11/29/12,2012,NULL,0,0,32,1
11/30/12,2012,NULL,0,0,32,1
12/1/12,2012,NULL,1,0,33.8,1
12/2/12,2012,NULL,1,0,32,1
12/3/12,2012,NULL,0,0,32,1
12/4/12,2012,NULL,0,0,33.8,1
12/5/12,2012,NULL,0,0,32,1
12/6/12,2012,NULL,0,0,32,1
12/7/12,2012,NULL,0,0,30.2,0
12/8/12,2012,NULL,1,0,24.8,0
12/9/12,2012,NULL,1,0,28.4,1
12/10/12,2012,NULL,0,0,32,1
12/11/12,2012,NULL,0,0,33.8,1
12/12/12,2012,NULL,0,0,35.6,1
12/13/12,2012,NULL,0,0,32,1
12/14/12,2012,NULL,0,0,28.4,0
12/15/12,2012,NULL,1,0,24.8,0
12/16/12,2012,NULL,1,0,26.6,0
12/17/12,2012,NULL,0,0,26.6,0
12/18/12,2012,NULL,0,0,28.4,0
12/19/12,2012,NULL,0,0,30.2,1
12/20/12,2012,NULL,0,0,30.2,1
12/21/12,2012,NULL,0,0,28.4,0
12/22/12,2012,NULL,1,0,28.4,0
12/23/12,2012,NULL,1,0,30.2,1
12/24/12,2012,NULL,0,0,30.2,0
12/25/12,2012,NULL,0,0,30.2,0
12/26/12,2012,NULL,0,0,30.2,1
12/27/12,2012,NULL,0,0,30.2,1
12/28/12,2012,NULL,0,0,30.2,0
12/29/12,2012,NULL,1,0,26.6,1
12/30/12,2012,NULL,1,0,28.4,1
12/31/12,2012,NULL,0,0,30.2,0
1/1/13,2013,New Year,0,0,30.2,1
1/2/13,2013,New Year,0,0,28.4,0
1/3/13,2013,New Year,0,0,26.6,0
1/4/13,2013,NULL,0,0,24.8,0
1/5/13,2013,NULL,1,0,26.6,0
1/6/13,2013,NULL,1,0,26.6,0
1/7/13,2013,NULL,0,0,26.6,0
1/8/13,2013,NULL,0,0,26.6,0
1/9/13,2013,NULL,0,0,28.4,0
1/10/13,2013,NULL,0,0,28.4,0
1/11/13,2013,NULL,0,0,24.8,0
1/12/13,2013,NULL,1,0,28.4,0
1/13/13,2013,NULL,1,0,30.2,0
1/14/13,2013,NULL,0,1,30.2,0
1/15/13,2013,NULL,0,1,30.2,0
1/16/13,2013,NULL,0,1,30.2,1
1/17/13,2013,NULL,0,1,30.2,1
1/18/13,2013,NULL,0,1,32,1
1/19/13,2013,NULL,1,1,28.4,1
1/20/13,2013,NULL,1,1,23,0
1/21/13,2013,NULL,0,1,19.4,0
1/22/13,2013,Luner New Year,0,1,17.6,0
1/23/13,2013,Luner New Year,0,1,21.2,0
1/24/13,2013,Luner New Year,0,1,23,0
1/25/13,2013,Luner New Year,0,1,23,0
1/26/13,2013,Luner New Year,1,1,26.6,0
1/27/13,2013,Luner New Year,1,1,26.6,0
1/28/13,2013,Luner New Year,0,1,23,0
1/29/13,2013,NULL,0,1,23,0
1/30/13,2013,NULL,0,1,23,0
1/31/13,2013,NULL,0,1,23,0
2/1/13,2013,NULL,0,1,19.4,0
2/2/13,2013,NULL,1,1,21.2,0
2/3/13,2013,NULL,1,1,26.6,0
2/4/13,2013,NULL,0,1,30.2,0
2/5/13,2013,NULL,0,1,30.2,0
2/6/13,2013,NULL,0,1,19.4,0
2/7/13,2013,NULL,0,0,23,0
2/8/13,2013,NULL,0,0,26.6,0
2/9/13,2013,NULL,1,0,28.4,0
2/10/13,2013,NULL,1,0,28.4,0
2/11/13,2013,NULL,0,0,32,0
2/12/13,2013,NULL,0,0,32,1
2/13/13,2013,NULL,0,0,33.8,1
2/14/13,2013,NULL,0,0,30.2,0
2/15/13,2013,NULL,0,0,32,1
2/16/13,2013,NULL,1,0,28.4,0
2/17/13,2013,NULL,1,0,28.4,0
2/18/13,2013,NULL,0,0,30.2,0
2/19/13,2013,NULL,0,0,32,1
2/20/13,2013,NULL,0,0,35.6,1
2/21/13,2013,NULL,0,0,33.8,1
2/22/13,2013,NULL,0,0,35.6,1
2/23/13,2013,NULL,1,0,33.8,1
2/24/13,2013,NULL,1,0,32,1
2/25/13,2013,NULL,0,0,32,1
2/26/13,2013,NULL,0,0,32,1
2/27/13,2013,NULL,0,0,35.6,1
2/28/13,2013,NULL,0,0,35.6,1
3/1/13,2013,NULL,0,0,39.2,1
3/1/13,2013,NULL,0,0,32,1
3/2/13,2013,NULL,1,0,35.6,1
3/3/13,2013,NULL,1,0,33.8,1
3/4/13,2013,NULL,0,0,35.6,1
3/5/13,2013,NULL,0,0,35.6,1
3/6/13,2013,NULL,0,0,39.2,1
3/7/13,2013,NULL,0,0,39.2,1
3/8/13,2013,NULL,0,0,32,1
3/9/13,2013,NULL,1,0,33.8,1
3/10/13,2013,NULL,1,0,33.8,1
3/11/13,2013,NULL,0,0,32,0
3/12/13,2013,NULL,0,0,37.4,1
3/13/13,2013,NULL,0,0,42.8,1
3/14/13,2013,NULL,0,0,42.8,1
3/15/13,2013,NULL,0,0,44.6,1
3/16/13,2013,NULL,1,0,48.2,1
3/17/13,2013,NULL,1,0,42.8,1
3/18/13,2013,NULL,0,0,35.6,1
3/19/13,2013,NULL,0,0,37.4,1
3/20/13,2013,NULL,0,0,44.6,1
3/21/13,2013,NULL,0,0,46.4,1
3/22/13,2013,NULL,0,0,41,1
3/23/13,2013,NULL,1,0,44.6,1
